(94, 'Samen', '2016-10-21', 'https://i.scdn.co/image/ab67616d0000b2739b31df7ec4cef4ac6a00e15b', '3BcgkcQgkbo5nEvHfakSQG', 'MPREb_uSjDG0eR8yq'),
(95, 'Brute Force', '2016-04-01', 'https://i.scdn.co/image/ab67616d0000b2739ea19f163bcf1986d37439fa', '3HNzOyPbz5vPvUie7lI97X', 'MPREb_nJGJ1xewDhI'),
(96, 'Gouge', '2020-10-08', 'https://i.scdn.co/image/ab67616d0000b273852dfba8657aafcf0dbfd4a1', '59bXmexXUSSkdUtJ19o7Oo', 'MPREb_Xjw2iRHm8JY'),
(98, 'Saturday Night Wrist', '2006-10-31', 'https://i.scdn.co/image/ab67616d0000b273fdf04b824d53ee302180b5e5', '4ilqDlqD37nilewk9x8tyZ', 'MPREb_ZeXQtMnnaDv'),
(99, 'Mister Asylum', '2015-07-17', 'https://i.scdn.co/image/ab67616d0000b27349a237434095e87ff3211691', '7wGLeeJt18EBjc181FP2cM', 'MPREb_befJjZ98wmD'),
(100, 'Requiem', '2007-03-16', 'https://i.scdn.co/image/ab67616d0000b273a494a68e3c923be82c383e11', '164aeXgFJXuvB8v28iWkQP', 'MPREb_qWk6QxWjxy1'),
(101, 'Surfer Rosa', '1988-03-21', 'https://i.scdn.co/image/ab67616d0000b273626ad9bb7d5f84c59652b161', '50j4Wm1b9hLpSpPIA39Vp9', 'MPREb_EqwcG6uS8iP'),
(102, 'Dear Desolation', '2017-08-18', 'https://i.scdn.co/image/ab67616d0000b273b78aef98ad0fc76b49e56ecf', '6gZ3FvJSTtZxX6Z9AammGW', 'MPREb_oSNqHtKUUwX'),
(103, 'New Levels New Devils', '2018-10-12', 'https://i.scdn.co/image/ab67616d0000b2736c53296d97eaae59f63805ff', '1JYk1k73qSbXCCCciopZH7', 'MPREb_MT5tv10ju8m'),
(104, 'Phobia (Explicit Version)', '2006-08-08', 'https://i.scdn.co/image/ab67616d0000b2737a3d77a6bd0814a5998f7749', '6yJdQMlMkfYJFiSsL6764c', 'MPREb_T9HRQU8kO2b'),
(105, 'Van', '2020-09-23', 'https://i.scdn.co/image/ab67616d0000b2738e81331c45d5e74e4367aacc', '7f5AP647DfTSWf0OmZRrPe', 'MPREb_er1jrr1NrkG'),
(106, 'Images and Words', '1992-07-07', 'https://i.scdn.co/image/ab67616d0000b273f4d11b78efa76496f2acd618', '2QgGoL5VSQhPHudTObS7zK', 'MPREb_J9qbQDdk2jb'),
(107, 'Clown Core', '2010-03-01', 'https://i.scdn.co/image/ab67616d0000b2736b2f530d70b07741c84c67c7', '1VPYwjMqtz6hV963WJHHSE', 'MPREb_ofDlh8wkkHt'),
(108, 'Soul of a Supertramp', '2016-05-05', 'https://i.scdn.co/image/ab67616d0000b2736fb19cac2db80e513189251c', '7zRsTnecFFvXenwBdtmTee', 'MPREb_GDpkqM013tq'),
(109, '68', '2018-09-07', 'https://i.scdn.co/image/ab67616d0000b273a2bd90b275df83e999affafd', '6GO4KkMREfAw1gMjPdNy9u', 'MPREb_kzvMWQyXiar'),
(110, 'Indiana', '2017-05-26', 'https://i.scdn.co/image/ab67616d0000b2735eecd029a6ddac9b559c238e', '6tth5cXWH0tUotheHg73Dg', 'MPREb_ZD6x6OI8kRb'),
